title	author	translator	publish	time	price	grade	commentnumber
半生缘	张爱玲		 北京十月文艺出版社	2006	28.00元	8.6	37280
此间的少年	江南		 华文出版社	2004	25.00元	8.4	35926
货币战争	宋鸿兵 编著		 中信出版社	2007	38.00元	7.2	39896
佳期如梦	匪我思存		 新世界出版社	2007	20.00元	7.9	36303
人类简史                                   : 从动物到上帝	[以色列]尤瓦尔·赫拉利	 林俊宏	 中信出版社	2014	68.00	9.1	44890
无人生还	[英] 阿加莎・克里斯蒂	 祁阿红	 人民文学出版社	2008	19.00	8.9	36616
一個人住第5年	高木直子	 洪俞君	 大田	2004	220	8.4	35003
了不起的盖茨比	菲茨杰拉德	 姚乃强	 人民文学出版社	2004	12.00元	8.3	38472
时间旅行者的妻子	[美] 奥德丽·尼芬格	 夏金	 人民文学出版社	2007	29.90元	8.1	35669
告别薇安	安妮宝贝		 中国社会科学出版社	2000	19.00	7.5	37688
常识	梁文道		 广西师范大学出版社	2009	38.00	8.1	35666
爱你就像爱生命	王小波		 上海锦绣文章出版社	2008	18.00元	8.8	36974
撒哈拉的故事	三毛		 北京十月文艺出版社	2011	24.00元	9.3	35626
步步惊心	桐华		 民族出版社	2006	25.00元	8.1	35445
皮囊	蔡崇达		 天津人民出版社	2014	39.80元	7.7	42754
二三事	安妮宝贝		 南海出版公司	2004	20.00元	7.7	35881
兄弟（下）	余华		 上海文艺出版社	2006	27.00元	7.4	37632
孤独六讲	蒋勋		 广西师范大学出版社	2009	36.00元	8.1	36373
乌合之众                                   : 大众心理研究	(法)古斯塔夫.勒庞	 冯克利	 中央编译出版社	1998	16.00元	8.3	38114
盗墓笔记2                                   : 秦岭神树	南派三叔		 中国友谊出版公司	2007	26.80元	8.2	34928
明朝那些事儿（肆）                                   : 粉饰太平	当年明月		 中国友谊出版公司	2007	24.80	8.8	33009
失恋33天                                   : 小说，或是指南	鲍鲸鲸		 中信出版社	2010	25.00元	8.1	34098
动物农场	[英] 乔治·奥威尔	 荣如德	 上海译文出版社	2007	10.00元	9.2	33890
左耳	饶雪漫		 当代世界出版社	2006	22.00元	7.0	37957
鹿鼎记（全五册）	金庸		 广州出版社 花城出版社	2008	108.00元	8.8	28167
荆棘鸟	[澳] 考琳·麦卡洛	 曾胡	 译林出版社	1998	28.00元	8.6	32189
左手倒影，右手年华。	郭敬明		 上海译文出版社	2003	16.00元	6.7	38210
零下一度	韩寒		 上海人民出版社	2000	12.00	7.2	36019
像少年啦飞驰	韩寒		 作家出版社	2002	16.00元	7.3	35932
寻路中国                                   : 从乡村到工厂的自驾之旅	[美] 彼得·海斯勒	 李雪顺	 上海译文出版社	2011	33.00元	9.0	31080
被窝是青春的坟墓	七堇年		 长江文艺出版社	2007	22.00元	7.7	34014
我们台湾这些年                                   : 一个台湾青年写给13亿大陆同胞的一封家书	廖信忠		 重庆出版集团	2009	29.80元	7.4	35114
1Q84 BOOK 3                                   : 10月～12月	[日] 村上春树	 施小炜	 南海出版公司	2011	39.50元	7.6	34954
关于莉莉周的一切	[日] 岩井俊二	 张苓	 天津人民出版社	2006	28.00元	7.7	33457
机器猫哆啦A梦23	藤子・F・不二雄	 碧日	 吉林美术出版社	1999	8.00	9.5	27858
阿Q正传                                   : 好	鲁迅		 上海书店出版社	2003	14.50元	8.7	31119
乖，摸摸头	大冰		 湖南文艺出版社	2014	36.00元	7.4	35599
大地之灯	七堇年		 长江文艺出版社	2007	22.00元	8.2	30928
